Designator,Mid X,Mid Y,Rotation,Layer
R9,156.65,-76.0175,270.0,top
SW1_2,167.492477,-114.257884,0.0,top
SW1,122.491116,-113.923366,0.0,bottom
SW2_2,173.094977,-107.975384,0.0,bottom
SW2,116.888616,-107.640866,0.0,top
U1_3,165.252477,-111.585384,270.0,bottom
U1_2,124.731116,-111.250866,270.0,top
U1,154.25,-79.7725,270.0,top
U2_3,173.112477,-110.740384,90.0,bottom
U2_2,116.871116,-110.405866,90.0,top
U2,131.426443,-76.963557,270.0,top
U3_3,174.915144,-100.315384,270.0,bottom
U3_2,115.068449,-99.980866,270.0,top
U3,142.236443,-79.593557,90.0,top
U4,132.364154,-90.913557,90.0,top
U5,137.856443,-66.913557,0.0,top
U6,148.771443,-73.733557,90.0,top
Y1_3,179.674977,-106.025384,270.0,bottom
Y1_2,110.308616,-105.690866,270.0,top
Y1,159.166943,-79.747557,90.0,top
Y2_2,170.894977,-102.785384,270.0,bottom
Y2,119.088616,-102.450866,270.0,top
